Age,Department,JobRole,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,DistanceFromHome,JobSatisfaction,WorkLifeBalance,OverTime,NumCompaniesWorked,TotalWorkingYears,PerformanceRating,Education,MaritalStatus,BusinessTravel,Attrition
23,Human Resources,Human Resources,3814,3,1,11,3,3,Yes,3,4,3,Bachelor,Married,Travel_Frequently,No
31,Research & Development,Laboratory Technician,4471,7,7,2,4,4,No,1,10,4,Master,Single,Travel_Rarely,No
36,Sales,Manager,9289,11,5,4,3,3,No,3,17,4,Bachelor,Single,Travel_Rarely,No
31,Human Resources,Manager,5680,4,0,16,2,2,Yes,3,11,3,Master,Single,Travel_Frequently,Yes
38,Sales,Manager,7766,10,9,6,3,3,No,3,19,4,Master,Married,Travel_Frequently,No
44,Research & Development,Manufacturing Director,10336,13,11,9,3,4,No,1,26,4,Master,Married,Travel_Rarely,No
59,Sales,Sales Executive,3886,20,6,15,2,2,Yes,3,40,3,College,Single,Travel_Frequently,No
44,Sales,Manager,7430,9,3,13,3,2,No,2,22,3,Doctor,Single,Non-Travel,No
35,Research & Development,Research Director,7162,7,5,13,3,2,Yes,2,14,3,Master,Married,Travel_Rarely,Yes
26,Human Resources,Manager,6840,1,0,10,4,3,No,1,4,3,Master,Single,Travel_Rarely,Yes
42,Sales,Sales Representative,3289,12,10,7,3,3,No,2,22,3,College,Single,Travel_Rarely,No
46,Human Resources,Human Resources,4271,16,3,11,3,3,No,3,27,3,Master,Married,Travel_Rarely,No
24,Research & Development,Research Scientist,5042,0,0,10,4,3,No,1,3,4,Bachelor,Married,Travel_Rarely,No
32,Human Resources,Human Resources,3478,4,3,11,2,2,Yes,2,11,3,Master,Single,Travel_Frequently,Yes
41,Sales,Manager,7266,11,4,12,2,3,Yes,3,20,3,Bachelor,Single,Travel_Frequently,No
53,Sales,Manager,5407,12,3,12,2,2,Yes,3,31,3,College,Single,Travel_Frequently,No
30,Sales,Sales Executive,4146,9,5,8,3,3,No,2,12,4,Master,Divorced,Travel_Rarely,No
57,Research & Development,Manufacturing Director,9737,19,9,8,4,4,No,2,39,3,Master,Married,Travel_Rarely,No
25,Human Resources,Human Resources,4392,3,0,8,4,4,No,3,7,3,Bachelor,Married,Travel_Rarely,No
40,Human Resources,Manager,8859,12,2,5,4,4,No,2,18,4,Bachelor,Married,Travel_Rarely,No
24,Sales,Sales Representative,2500,1,0,13,2,3,Yes,4,3,3,College,Single,Travel_Frequently,Yes
24,Human Resources,Human Resources,3618,1,1,7,3,3,No,3,5,4,College,Married,Travel_Rarely,No
60,Sales,Manager,8601,19,1,4,4,4,No,1,39,3,College,Single,Non-Travel,No
27,Human Resources,Manager,7749,1,1,8,4,4,No,1,5,3,Doctor,Divorced,Travel_Frequently,No
54,Sales,Sales Executive,3778,20,10,8,3,2,Yes,2,33,3,Master,Single,Travel_Rarely,Yes
35,Human Resources,Human Resources,5221,9,2,1,4,4,No,1,14,3,Bachelor,Married,Non-Travel,No
60,Sales,Sales Representative,4057,22,6,6,4,4,No,1,38,3,Bachelor,Married,Travel_Rarely,No
47,Research & Development,Laboratory Technician,3488,14,6,18,3,3,No,2,29,3,Bachelor,Single,Travel_Rarely,No
29,Human Resources,Human Resources,4502,7,1,5,4,4,No,1,9,4,Master,Single,Travel_Rarely,No
33,Research & Development,Laboratory Technician,3935,6,2,12,4,3,Yes,3,14,3,Bachelor,Married,Travel_Rarely,No
35,Sales,Sales Executive,5323,7,2,3,4,4,No,1,16,3,Master,Married,Travel_Rarely,No
43,Sales,Sales Representative,2641,10,9,17,3,3,Yes,3,23,3,Master,Single,Travel_Frequently,No
44,Human Resources,Human Resources,3453,10,6,13,2,2,Yes,3,24,3,Master,Single,Travel_Frequently,Yes
41,Research & Development,Research Director,9561,10,10,5,4,4,No,2,21,4,Master,Married,Travel_Rarely,No
35,Sales,Sales Executive,4386,7,5,11,3,3,No,2,15,3,Bachelor,Single,Travel_Rarely,No
37,Human Resources,Human Resources,4367,9,5,10,3,3,No,2,18,3,Bachelor,Single,Travel_Frequently,No
23,Sales,Manager,6017,1,1,8,3,3,No,1,1,4,Bachelor,Married,Travel_Frequently,No
59,Sales,Manager,9199,19,7,9,4,3,No,2,38,3,Bachelor,Single,Travel_Rarely,No
57,Sales,Manager,7229,17,13,6,3,3,Yes,2,37,3,Bachelor,Married,Travel_Frequently,No
25,Research & Development,Laboratory Technician,3322,3,1,10,3,2,No,2,3,3,College,Married,Travel_Rarely,Yes
41,Sales,Manager,5959,8,8,12,2,3,Yes,3,20,3,Master,Single,Travel_Frequently,Yes
43,Human Resources,Manager,7688,14,11,15,3,3,No,1,24,3,Master,Single,Travel_Rarely,No
32,Sales,Sales Executive,4474,7,6,8,4,4,No,1,10,4,Master,Single,Travel_Frequently,No
23,Sales,Sales Representative,3105,0,0,11,4,3,No,1,1,3,Master,Single,Travel_Rarely,Yes
51,Sales,Sales Representative,4287,17,2,7,4,4,No,1,33,3,College,Single,Travel_Rarely,No
30,Research & Development,Research Scientist,5199,6,1,11,3,3,No,3,10,4,Bachelor,Divorced,Travel_Rarely,No
60,Sales,Sales Executive,4785,22,11,14,3,3,No,2,40,3,Bachelor,Single,Travel_Rarely,No
22,Human Resources,Human Resources,4412,0,0,13,3,3,No,3,4,3,Below College,Married,Travel_Frequently,Yes
42,Human Resources,Human Resources,5120,13,6,6,4,4,No,1,24,3,Master,Married,Travel_Frequently,No
54,Research & Development,Manufacturing Director,11501,21,9,1,4,4,No,1,36,3,Bachelor,Single,Non-Travel,No
58,Research & Development,Research Scientist,6172,18,3,2,4,4,No,1,36,3,Master,Divorced,Travel_Rarely,No
23,Sales,Sales Representative,2500,0,0,21,1,2,Yes,2,2,3,Master,Single,Travel_Frequently,Yes
42,Human Resources,Manager,8099,11,5,7,4,3,No,1,23,3,Bachelor,Single,Travel_Rarely,No
58,Human Resources,Manager,6897,19,4,19,3,3,No,2,38,4,Bachelor,Single,Non-Travel,No
33,Human Resources,Human Resources,4936,9,3,11,4,4,No,1,11,3,Bachelor,Single,Travel_Rarely,No
43,Sales,Manager,6371,11,8,10,3,3,No,1,23,4,Bachelor,Single,Non-Travel,No
22,Human Resources,Manager,8627,1,0,5,4,4,No,2,1,4,Doctor,Single,Travel_Frequently,No
24,Sales,Manager,6715,4,3,9,3,3,No,1,4,4,Bachelor,Married,Travel_Rarely,No
54,Human Resources,Human Resources,4610,16,12,11,4,4,No,3,36,3,Bachelor,Married,Travel_Rarely,Yes
52,Research & Development,Research Director,9837,15,12,7,4,3,No,2,32,3,Master,Single,Non-Travel,No
29,Human Resources,Human Resources,4280,5,0,16,2,2,Yes,3,10,3,Bachelor,Married,Travel_Frequently,Yes
48,Human Resources,Manager,7071,13,1,19,2,2,Yes,3,27,3,Below College,Single,Travel_Frequently,No
25,Sales,Sales Representative,3460,2,0,6,4,3,No,1,4,3,Master,Single,Travel_Rarely,No
37,Sales,Sales Representative,3813,10,9,4,4,4,No,1,18,3,Bachelor,Married,Travel_Rarely,No
53,Human Resources,Human Resources,4130,19,12,10,3,3,No,3,32,4,Master,Divorced,Travel_Rarely,No
38,Human Resources,Human Resources,4113,12,12,15,3,3,No,2,19,3,College,Single,Travel_Rarely,No
50,Research & Development,Research Director,9530,18,4,6,4,3,No,1,31,4,Bachelor,Married,Travel_Rarely,No
44,Sales,Sales Representative,3226,14,9,4,3,3,No,2,24,4,Master,Single,Travel_Rarely,No
58,Sales,Sales Representative,3403,18,9,11,3,3,No,3,39,3,Bachelor,Single,Travel_Rarely,Yes
44,Human Resources,Manager,5612,11,6,15,3,3,No,2,26,4,College,Married,Travel_Rarely,No
53,Research & Development,Laboratory Technician,3413,15,12,12,3,3,No,3,34,3,Master,Single,Non-Travel,No
52,Human Resources,Manager,7108,19,11,14,3,3,Yes,1,34,3,Master,Married,Travel_Rarely,No
60,Research & Development,Laboratory Technician,3606,18,7,18,3,3,Yes,3,38,3,Bachelor,Single,Travel_Frequently,Yes
53,Sales,Sales Representative,3176,17,6,19,2,3,Yes,3,33,3,Bachelor,Single,Travel_Frequently,Yes
57,Sales,Sales Representative,3495,18,5,11,3,2,Yes,2,38,3,Bachelor,Single,Travel_Rarely,No
51,Human Resources,Human Resources,2642,14,0,23,1,1,Yes,4,29,3,Below College,Single,Travel_Frequently,Yes
30,Human Resources,Human Resources,4830,1,0,2,4,4,No,1,8,4,College,Divorced,Travel_Rarely,No
54,Research & Development,Research Scientist,5854,16,11,7,4,4,No,2,34,3,Bachelor,Single,Non-Travel,No
30,Human Resources,Human Resources,5285,8,8,9,4,4,No,2,11,3,Master,Single,Travel_Rarely,No
51,Sales,Manager,6989,15,10,9,3,3,Yes,2,33,3,Bachelor,Married,Travel_Rarely,No
54,Research & Development,Laboratory Technician,4288,17,10,7,4,4,No,2,33,3,Bachelor,Married,Travel_Rarely,No
40,Research & Development,Laboratory Technician,4014,11,10,8,3,3,Yes,2,21,4,Master,Single,Travel_Frequently,No
52,Human Resources,Human Resources,3766,18,4,12,3,3,No,2,33,4,College,Married,Travel_Rarely,No
34,Sales,Manager,7786,6,4,8,4,4,No,2,12,3,Master,Married,Non-Travel,No
22,Sales,Sales Representative,3914,2,0,6,4,4,No,1,2,3,Master,Married,Travel_Rarely,No
51,Research & Development,Laboratory Technician,2500,11,1,15,1,2,Yes,3,30,3,Bachelor,Single,Travel_Frequently,Yes
49,Sales,Sales Executive,5071,18,11,7,4,4,No,1,30,4,Bachelor,Married,Non-Travel,No
53,Sales,Sales Executive,5270,17,0,2,4,4,No,2,33,3,College,Single,Travel_Frequently,No
53,Human Resources,Human Resources,4302,16,4,8,4,3,No,2,32,4,College,Married,Travel_Rarely,No
37,Human Resources,Human Resources,3824,8,0,16,2,3,No,2,15,3,Bachelor,Single,Travel_Frequently,Yes
45,Research & Development,Research Director,9464,15,10,1,4,4,No,1,26,3,Below College,Married,Travel_Rarely,No
44,Research & Development,Research Director,8255,9,4,5,4,4,No,3,22,4,Master,Single,Travel_Rarely,No
38,Sales,Sales Executive,4290,8,0,8,3,2,No,1,17,3,Bachelor,Single,Travel_Rarely,No
44,Research & Development,Laboratory Technician,3604,11,7,17,2,3,Yes,2,23,3,Bachelor,Single,Travel_Rarely,Yes
39,Human Resources,Human Resources,4605,13,6,1,4,4,No,2,20,4,Bachelor,Married,Travel_Rarely,No
50,Research & Development,Manufacturing Director,9013,14,11,13,2,2,Yes,2,28,3,College,Married,Travel_Frequently,Yes
42,Sales,Sales Executive,4798,12,12,13,4,3,No,3,20,3,Bachelor,Married,Non-Travel,No
24,Research & Development,Manufacturing Director,9226,1,1,6,3,4,No,1,4,3,Bachelor,Married,Travel_Rarely,No
28,Research & Development,Laboratory Technician,3439,5,5,7,2,2,Yes,4,8,3,Master,Single,Travel_Frequently,Yes
36,Sales,Manager,7139,8,6,12,2,3,Yes,2,18,3,Bachelor,Single,Travel_Frequently,No
58,Human Resources,Manager,7031,20,8,13,4,4,No,2,37,3,College,Single,Travel_Rarely,No
38,Research & Development,Research Director,8187,9,1,13,2,2,Yes,2,19,3,Bachelor,Single,Travel_Frequently,Yes
45,Human Resources,Manager,8308,13,2,10,4,3,No,1,23,3,Bachelor,Married,Travel_Rarely,No
55,Sales,Sales Representative,3093,18,11,7,3,4,No,1,37,3,Master,Single,Travel_Rarely,No
58,Research & Development,Research Scientist,4393,16,4,10,3,2,Yes,3,38,3,Doctor,Single,Travel_Frequently,No
34,Human Resources,Manager,7250,6,4,15,3,3,No,3,13,3,Below College,Married,Travel_Rarely,No
54,Research & Development,Research Scientist,5609,16,12,4,3,3,No,2,32,4,Master,Single,Travel_Rarely,No
48,Research & Development,Laboratory Technician,2628,12,9,16,1,2,Yes,3,27,3,Below College,Single,Travel_Frequently,Yes
28,Human Resources,Human Resources,3092,2,2,15,2,2,Yes,3,6,3,Below College,Single,Travel_Frequently,Yes
35,Research & Development,Research Director,5586,6,6,22,1,2,Yes,3,13,3,Master,Married,Travel_Frequently,Yes
27,Research & Development,Manufacturing Director,8744,5,2,11,4,4,No,2,8,3,Bachelor,Married,Travel_Rarely,No
49,Human Resources,Human Resources,2993,12,5,14,2,2,Yes,3,29,3,Bachelor,Single,Travel_Frequently,Yes
51,Research & Development,Research Scientist,5933,17,0,12,4,3,No,1,30,4,Master,Married,Travel_Frequently,No
57,Research & Development,Research Director,8416,20,4,6,3,3,No,1,38,3,Master,Married,Travel_Rarely,No
33,Research & Development,Laboratory Technician,4927,8,6,5,4,4,No,1,15,3,Bachelor,Married,Travel_Rarely,No
36,Research & Development,Research Scientist,5601,9,3,7,3,3,No,2,18,3,Below College,Divorced,Travel_Rarely,No
38,Human Resources,Manager,6095,8,1,10,2,2,Yes,2,17,3,Bachelor,Married,Travel_Frequently,Yes
37,Research & Development,Laboratory Technician,3741,9,2,12,4,3,No,1,18,4,Bachelor,Single,Travel_Rarely,No
32,Human Resources,Human Resources,3469,6,4,10,3,3,No,3,13,3,Master,Married,Non-Travel,No
40,Human Resources,Human Resources,5660,13,0,10,4,4,No,2,22,4,Master,Single,Travel_Rarely,No
34,Sales,Sales Executive,3890,5,1,19,1,2,Yes,3,16,3,Bachelor,Married,Travel_Frequently,Yes
22,Research & Development,Research Scientist,6203,2,1,1,4,4,No,2,2,3,College,Married,Travel_Rarely,No
48,Human Resources,Human Resources,4602,13,4,13,3,3,No,3,29,4,College,Married,Travel_Rarely,No
23,Sales,Manager,9073,2,1,12,4,3,No,3,5,4,Bachelor,Married,Non-Travel,No
58,Sales,Manager,7271,20,12,7,4,4,No,2,37,4,Bachelor,Married,Travel_Rarely,No
42,Human Resources,Manager,7047,9,0,20,2,2,Yes,3,20,3,College,Single,Travel_Frequently,Yes
47,Sales,Manager,6504,14,1,16,3,3,No,2,28,4,College,Single,Travel_Rarely,No
25,Sales,Sales Representative,3552,2,2,12,3,4,No,1,4,3,Master,Single,Travel_Rarely,No
56,Human Resources,Manager,8033,17,3,10,3,3,No,2,36,4,Bachelor,Single,Travel_Rarely,No
39,Sales,Sales Representative,2500,10,2,14,2,3,Yes,3,19,3,Bachelor,Single,Travel_Frequently,Yes
60,Research & Development,Manufacturing Director,10545,22,4,7,4,4,No,1,40,3,Master,Married,Travel_Rarely,No
50,Sales,Sales Executive,5845,19,0,1,4,4,No,2,32,4,Bachelor,Single,Non-Travel,No
43,Sales,Sales Representative,3918,11,3,12,4,4,No,1,23,3,College,Divorced,Travel_Rarely,No
50,Sales,Sales Representative,3445,17,5,11,4,4,No,2,32,4,Master,Married,Travel_Rarely,No
55,Human Resources,Manager,8444,18,8,11,4,3,No,1,34,4,Bachelor,Single,Travel_Rarely,No
23,Research & Development,Research Scientist,6352,3,1,5,4,4,No,1,3,3,Bachelor,Married,Travel_Rarely,No
56,Human Resources,Human Resources,5338,21,3,4,4,4,No,2,38,3,Bachelor,Married,Travel_Rarely,Yes
35,Human Resources,Manager,6654,10,7,5,3,4,No,1,16,4,Bachelor,Married,Non-Travel,No
29,Sales,Manager,7101,3,0,9,3,3,No,2,11,4,Bachelor,Married,Travel_Rarely,No
49,Human Resources,Manager,6901,15,7,10,3,2,Yes,2,30,3,Master,Single,Travel_Frequently,No
22,Human Resources,Manager,8900,3,2,2,3,4,No,2,3,4,Bachelor,Married,Travel_Rarely,No
55,Research & Development,Research Director,9860,17,1,4,4,4,No,2,33,4,Master,Single,Non-Travel,No
56,Research & Development,Research Scientist,6754,20,0,4,4,4,No,1,38,4,College,Married,Travel_Rarely,No
59,Human Resources,Manager,8021,21,1,6,4,4,No,1,37,3,Master,Married,Travel_Frequently,No
25,Research & Development,Research Director,7320,1,1,19,3,2,Yes,3,5,3,Bachelor,Divorced,Travel_Frequently,Yes
23,Research & Development,Research Director,10772,4,0,7,4,4,No,1,4,3,Bachelor,Married,Travel_Rarely,No
29,Sales,Sales Executive,2500,3,0,22,1,1,Yes,4,7,3,Bachelor,Married,Travel_Frequently,Yes
28,Human Resources,Manager,5538,3,2,16,3,3,Yes,2,7,3,Doctor,Married,Travel_Frequently,No
49,Sales,Manager,7932,17,12,6,4,4,No,2,30,3,Master,Married,Travel_Rarely,No
44,Research & Development,Research Director,7873,12,4,12,3,3,No,3,24,4,Bachelor,Single,Travel_Rarely,No
50,Research & Development,Research Director,6930,13,5,16,3,3,No,1,29,3,College,Married,Travel_Rarely,No
37,Human Resources,Manager,7574,8,2,12,4,3,No,1,16,3,Bachelor,Single,Travel_Rarely,No
25,Sales,Manager,6967,7,6,12,3,3,Yes,1,7,3,Master,Married,Travel_Rarely,No
44,Sales,Sales Executive,2794,12,4,27,1,1,Yes,2,25,3,Bachelor,Single,Travel_Frequently,Yes
54,Sales,Sales Executive,4443,17,10,14,2,3,Yes,3,32,4,Bachelor,Single,Travel_Rarely,Yes
59,Sales,Sales Executive,5192,19,10,13,3,3,No,1,40,3,Master,Single,Non-Travel,No
52,Sales,Manager,7536,15,4,18,2,2,Yes,4,32,3,Bachelor,Single,Travel_Frequently,Yes
56,Human Resources,Manager,7492,19,2,5,3,3,No,2,38,4,Master,Married,Non-Travel,No
51,Human Resources,Human Resources,4232,16,3,8,4,4,No,1,29,4,College,Married,Non-Travel,No
42,Human Resources,Manager,8169,12,6,7,4,4,No,1,21,3,College,Married,Travel_Rarely,No
39,Human Resources,Human Resources,3930,9,2,10,4,4,No,1,18,3,Below College,Married,Travel_Frequently,No
48,Human Resources,Human Resources,4834,14,2,10,4,4,No,3,27,3,Below College,Married,Travel_Frequently,No
43,Research & Development,Manufacturing Director,9246,12,7,16,2,2,Yes,3,25,3,Master,Single,Non-Travel,Yes
41,Sales,Sales Executive,4303,13,5,12,3,3,No,4,21,3,College,Single,Travel_Frequently,No
51,Research & Development,Research Director,7568,16,13,21,2,2,Yes,4,32,3,Master,Single,Travel_Frequently,Yes
32,Sales,Sales Executive,3734,3,0,18,2,2,Yes,4,10,3,Below College,Divorced,Travel_Frequently,Yes
33,Human Resources,Human Resources,4740,5,3,14,4,3,No,2,13,3,Below College,Single,Travel_Rarely,No
50,Research & Development,Research Director,7584,18,14,7,3,3,No,1,30,3,Master,Single,Non-Travel,No
55,Sales,Sales Representative,3528,17,1,9,4,3,No,2,37,3,College,Married,Travel_Rarely,No
23,Human Resources,Manager,8056,0,0,4,4,4,No,1,1,4,College,Married,Travel_Rarely,No
50,Research & Development,Research Director,7175,18,14,15,3,2,Yes,2,32,3,Doctor,Single,Travel_Frequently,No
45,Human Resources,Human Resources,3829,11,0,7,4,3,No,1,24,3,Bachelor,Single,Travel_Rarely,No
34,Research & Development,Laboratory Technician,3247,8,5,8,3,2,Yes,2,15,3,College,Single,Travel_Rarely,No
29,Research & Development,Research Director,8142,3,3,12,3,3,No,1,10,3,Bachelor,Single,Non-Travel,No
22,Research & Development,Research Director,9916,1,1,2,4,4,No,1,1,3,Bachelor,Married,Travel_Rarely,No
45,Research & Development,Laboratory Technician,3396,13,7,14,3,3,Yes,3,27,4,Bachelor,Married,Travel_Rarely,No
56,Sales,Sales Representative,3732,17,9,9,4,3,No,1,36,3,Bachelor,Single,Non-Travel,No
27,Sales,Sales Executive,4753,4,0,11,3,3,No,3,7,4,College,Married,Travel_Rarely,No
23,Sales,Sales Representative,2523,0,0,11,2,3,Yes,4,3,3,Bachelor,Single,Travel_Frequently,Yes
46,Research & Development,Research Director,9547,15,0,6,4,4,No,1,27,3,Doctor,Divorced,Travel_Rarely,No
28,Sales,Sales Executive,5555,4,4,13,3,4,No,2,7,3,Master,Single,Non-Travel,No
36,Human Resources,Human Resources,3890,10,0,11,2,3,Yes,3,14,4,Bachelor,Married,Non-Travel,No
30,Human Resources,Human Resources,3571,4,2,9,4,3,No,1,8,4,Master,Divorced,Travel_Frequently,No
34,Human Resources,Manager,6257,9,9,11,2,2,Yes,2,15,3,College,Married,Travel_Frequently,Yes
41,Human Resources,Human Resources,4876,12,1,8,4,4,No,1,23,3,Bachelor,Single,Travel_Rarely,No
45,Research & Development,Laboratory Technician,2961,11,0,15,2,3,Yes,3,23,3,Bachelor,Married,Travel_Frequently,Yes
31,Research & Development,Research Scientist,6680,8,8,2,4,4,No,2,13,4,Master,Married,Travel_Rarely,No
25,Human Resources,Human Resources,4478,3,3,8,4,3,No,1,5,3,Master,Married,Travel_Rarely,No
40,Sales,Manager,8515,11,11,7,4,3,No,2,19,4,Bachelor,Married,Travel_Rarely,No
38,Human Resources,Manager,7708,8,8,9,3,3,No,1,16,3,College,Married,Travel_Rarely,No
60,Sales,Sales Representative,3579,19,3,14,3,3,No,2,38,4,Bachelor,Married,Travel_Rarely,Yes
42,Research & Development,Laboratory Technician,3583,14,4,6,3,3,No,2,24,3,Master,Married,Non-Travel,Yes
29,Sales,Sales Representative,3777,7,3,15,4,4,No,1,11,3,Bachelor,Single,Travel_Frequently,No
49,Human Resources,Manager,8866,18,3,2,4,4,No,2,31,3,Bachelor,Married,Travel_Rarely,No
48,Human Resources,Human Resources,4536,13,9,5,4,4,No,3,26,4,Master,Single,Travel_Rarely,No
53,Research & Development,Research Scientist,6904,20,0,8,4,4,No,1,34,3,Master,Married,Travel_Frequently,No
23,Human Resources,Manager,8473,3,0,8,4,4,No,1,3,3,Master,Single,Travel_Rarely,No
31,Research & Development,Manufacturing Director,11197,8,8,1,4,4,No,1,13,4,Bachelor,Married,Non-Travel,No
52,Sales,Sales Executive,4785,19,9,12,3,4,No,2,34,3,Bachelor,Single,Travel_Frequently,No
22,Research & Development,Research Scientist,6379,0,0,11,3,4,No,1,0,3,Bachelor,Married,Travel_Rarely,No
28,Human Resources,Manager,9403,4,0,9,4,4,No,1,8,3,Master,Single,Travel_Rarely,No
43,Human Resources,Human Resources,4559,13,6,7,4,4,No,1,21,4,Bachelor,Married,Travel_Rarely,No
23,Research & Development,Research Director,7432,4,4,9,2,2,Yes,2,4,3,Bachelor,Single,Travel_Frequently,Yes
51,Research & Development,Research Scientist,5987,15,7,6,4,2,No,3,30,4,Bachelor,Single,Travel_Rarely,No
43,Sales,Manager,7687,12,7,11,3,3,No,3,21,4,Bachelor,Married,Non-Travel,No
55,Sales,Sales Representative,3197,16,4,8,4,3,No,2,33,3,Master,Married,Travel_Rarely,No
47,Human Resources,Manager,7501,13,6,16,2,2,Yes,5,25,3,Bachelor,Single,Travel_Frequently,Yes
32,Human Resources,Human Resources,4854,6,0,2,4,4,No,1,10,4,Master,Married,Travel_Rarely,No
52,Human Resources,Manager,8166,17,4,10,4,3,No,1,33,4,Bachelor,Single,Travel_Frequently,No
27,Research & Development,Manufacturing Director,7711,1,0,11,3,2,Yes,3,5,3,Master,Married,Travel_Frequently,No
34,Research & Development,Research Scientist,6349,10,6,9,4,4,No,2,16,3,Bachelor,Single,Non-Travel,No
39,Human Resources,Human Resources,4275,7,0,8,4,3,No,1,17,4,College,Single,Travel_Frequently,No
23,Research & Development,Laboratory Technician,3779,3,1,8,2,3,No,2,5,3,Bachelor,Married,Non-Travel,No
39,Sales,Sales Representative,2944,11,10,9,3,3,No,3,20,4,Master,Single,Travel_Rarely,No
51,Sales,Manager,8009,16,11,9,3,3,No,1,29,4,Master,Married,Non-Travel,No
39,Sales,Sales Representative,3125,8,5,10,4,3,No,2,18,4,Bachelor,Married,Travel_Rarely,No
56,Research & Development,Research Director,8231,18,3,11,3,3,No,1,38,4,College,Married,Travel_Rarely,No
35,Human Resources,Manager,8336,6,5,7,3,4,No,2,13,3,Bachelor,Single,Travel_Rarely,No
54,Research & Development,Research Scientist,6275,20,10,3,4,4,No,2,36,3,College,Married,Travel_Rarely,No
38,Sales,Sales Executive,5516,9,9,5,4,4,No,2,20,3,Master,Married,Travel_Rarely,No
26,Sales,Manager,9832,7,1,1,4,4,No,1,8,4,Master,Single,Travel_Rarely,No
46,Sales,Sales Representative,2500,8,8,19,1,2,Yes,2,25,3,Bachelor,Single,Travel_Frequently,Yes
30,Sales,Sales Executive,3589,4,2,15,2,1,Yes,2,9,3,Bachelor,Married,Travel_Frequently,Yes
42,Sales,Sales Representative,4092,13,0,8,4,4,No,2,24,4,Bachelor,Married,Travel_Frequently,No
49,Sales,Manager,8169,17,14,1,4,4,No,1,30,4,Below College,Married,Travel_Frequently,No
24,Human Resources,Manager,7234,5,4,7,3,3,No,3,5,4,Bachelor,Married,Travel_Rarely,No
57,Research & Development,Research Scientist,5519,19,2,7,3,3,No,2,38,3,Bachelor,Divorced,Travel_Rarely,No
52,Research & Development,Manufacturing Director,6670,17,9,23,2,2,Yes,3,33,3,Bachelor,Married,Travel_Frequently,Yes
59,Research & Development,Research Director,7446,17,12,22,1,2,Yes,2,40,3,Bachelor,Married,Travel_Frequently,Yes
56,Sales,Sales Representative,3715,20,2,3,4,3,No,1,35,3,College,Married,Travel_Rarely,No
49,Sales,Manager,9564,18,13,1,4,4,No,1,31,4,Bachelor,Married,Travel_Rarely,No
29,Human Resources,Human Resources,4698,7,1,3,4,4,No,1,11,4,Master,Married,Travel_Frequently,No
25,Human Resources,Manager,9810,5,5,1,4,4,No,1,5,3,Doctor,Single,Travel_Rarely,No
53,Research & Development,Laboratory Technician,3848,11,6,17,2,3,Yes,1,31,3,College,Single,Travel_Frequently,Yes
47,Research & Development,Research Director,8510,17,6,6,3,3,No,2,29,4,Master,Divorced,Travel_Rarely,No
26,Sales,Manager,7823,3,2,8,3,3,Yes,1,6,3,College,Married,Travel_Frequently,Yes
33,Research & Development,Laboratory Technician,3117,3,1,12,3,2,Yes,3,11,3,Bachelor,Married,Travel_Frequently,Yes
36,Sales,Manager,7696,10,10,8,3,3,No,1,16,4,Bachelor,Married,Travel_Rarely,No
26,Sales,Manager,6732,1,0,9,3,2,Yes,2,5,3,Bachelor,Single,Non-Travel,Yes
51,Human Resources,Manager,8014,15,0,10,3,3,No,1,30,4,Bachelor,Married,Travel_Rarely,No
44,Research & Development,Laboratory Technician,4482,13,9,12,3,3,No,3,25,4,Bachelor,Married,Travel_Frequently,No
22,Research & Development,Manufacturing Director,6541,0,0,18,3,2,Yes,2,0,3,College,Single,Travel_Frequently,Yes
34,Research & Development,Research Scientist,5174,8,6,16,2,4,Yes,1,13,4,Bachelor,Married,Travel_Rarely,No
39,Sales,Sales Executive,3392,8,3,13,1,1,Yes,4,17,3,College,Single,Travel_Frequently,Yes
53,Sales,Sales Representative,2812,18,5,7,4,3,No,2,35,3,Bachelor,Married,Travel_Rarely,No
23,Research & Development,Research Director,9661,2,1,8,4,4,No,1,2,4,Doctor,Single,Travel_Frequently,No
42,Sales,Sales Representative,3363,13,13,9,3,4,No,2,22,3,Bachelor,Married,Travel_Rarely,No
43,Human Resources,Manager,9802,12,2,4,4,4,No,1,21,3,Master,Single,Non-Travel,No
29,Human Resources,Manager,7930,9,3,12,3,3,Yes,2,10,3,Bachelor,Married,Travel_Rarely,No
23,Research & Development,Manufacturing Director,9376,4,3,5,3,3,No,2,5,3,Below College,Single,Travel_Frequently,No
42,Human Resources,Manager,7067,9,0,14,3,3,Yes,2,21,3,Master,Single,Travel_Frequently,No
35,Sales,Manager,7194,7,2,10,3,4,No,3,14,3,College,Single,Travel_Frequently,No
47,Human Resources,Human Resources,3971,10,2,9,2,3,No,2,26,3,Master,Single,Travel_Frequently,No
51,Research & Development,Research Scientist,6594,17,0,4,4,4,No,1,33,3,Bachelor,Married,Travel_Rarely,No
24,Human Resources,Manager,7875,2,0,6,4,3,No,2,5,4,Bachelor,Divorced,Travel_Rarely,No
44,Sales,Sales Executive,3719,13,13,12,3,3,Yes,2,26,3,Master,Single,Travel_Rarely,No
57,Research & Development,Laboratory Technician,3343,18,7,12,3,2,Yes,2,38,3,Doctor,Married,Travel_Frequently,Yes
32,Sales,Sales Executive,3942,5,4,15,3,2,Yes,3,11,3,College,Divorced,Travel_Frequently,No
56,Human Resources,Manager,8880,18,2,8,4,4,No,2,37,3,Bachelor,Divorced,Non-Travel,No
